profile_name,post_index,likes,comments
somc______,1,951,23
somc______,2,1335,43
somc______,3,4488,69
somc______,4,정보를 가져올 수 없음,"정보를 가져올 수 없음: Message: 
Stacktrace:
0   chromedriver                        0x000000010545fab8 chromedriver + 7092920
1   chromedriver                        0x000000010545739a chromedriver + 7058330
2   chromedriver                        0x0000000104dfdd70 chromedriver + 400752
3   chromedriver                        0x0000000104e4cbc3 chromedriver + 723907
4   chromedriver                        0x0000000104e4cec1 chromedriver + 724673
5   chromedriver                        0x0000000104e92e94 chromedriver + 1011348
6   chromedriver                        0x0000000104e7124d chromedriver + 873037
7   chromedriver                        0x0000000104e90175 chromedriver + 999797
8   chromedriver                        0x0000000104e70fc3 chromedriver + 872387
9   chromedriver                        0x0000000104e3f5c2 chromedriver + 669122
10  chromedriver                        0x0000000104e4059e chromedriver + 673182
11  chromedriver                        0x0000000105424350 chromedriver + 6849360
12  chromedriver                        0x0000000105428280 chromedriver + 6865536
13  chromedriver                        0x0000000105406737 chromedriver + 6727479
14  chromedriver                        0x0000000105428d0e chromedriver + 6868238
15  chromedriver                        0x00000001053f6084 chromedriver + 6660228
16  chromedriver                        0x0000000105445a18 chromedriver + 6986264
17  chromedriver                        0x0000000105445bd6 chromedriver + 6986710
18  chromedriver                        0x0000000105456f78 chromedriver + 7057272
19  libsystem_pthread.dylib             0x00007ff81a64f1d3 _pthread_start + 125
20  libsystem_pthread.dylib             0x00007ff81a64abd3 thread_start + 15
"
somc______,5,정보를 가져올 수 없음,"정보를 가져올 수 없음: Message: 
Stacktrace:
0   chromedriver                        0x000000010545fab8 chromedriver + 7092920
1   chromedriver                        0x000000010545739a chromedriver + 7058330
2   chromedriver                        0x0000000104dfdd70 chromedriver + 400752
3   chromedriver                        0x0000000104e4cbc3 chromedriver + 723907
4   chromedriver                        0x0000000104e4cec1 chromedriver + 724673
5   chromedriver                        0x0000000104e92e94 chromedriver + 1011348
6   chromedriver                        0x0000000104e7124d chromedriver + 873037
7   chromedriver                        0x0000000104e90175 chromedriver + 999797
8   chromedriver                        0x0000000104e70fc3 chromedriver + 872387
9   chromedriver                        0x0000000104e3f5c2 chromedriver + 669122
10  chromedriver                        0x0000000104e4059e chromedriver + 673182
11  chromedriver                        0x0000000105424350 chromedriver + 6849360
12  chromedriver                        0x0000000105428280 chromedriver + 6865536
13  chromedriver                        0x0000000105406737 chromedriver + 6727479
14  chromedriver                        0x0000000105428d0e chromedriver + 6868238
15  chromedriver                        0x00000001053f6084 chromedriver + 6660228
16  chromedriver                        0x0000000105445a18 chromedriver + 6986264
17  chromedriver                        0x0000000105445bd6 chromedriver + 6986710
18  chromedriver                        0x0000000105456f78 chromedriver + 7057272
19  libsystem_pthread.dylib             0x00007ff81a64f1d3 _pthread_start + 125
20  libsystem_pthread.dylib             0x00007ff81a64abd3 thread_start + 15
"
ppeumppeum,1,정보를 가져올 수 없음,"정보를 가져올 수 없음: Message: 
Stacktrace:
0   chromedriver                        0x000000010545fab8 chromedriver + 7092920
1   chromedriver                        0x000000010545739a chromedriver + 7058330
2   chromedriver                        0x0000000104dfdd70 chromedriver + 400752
3   chromedriver                        0x0000000104e4cbc3 chromedriver + 723907
4   chromedriver                        0x0000000104e4cec1 chromedriver + 724673
5   chromedriver                        0x0000000104e92e94 chromedriver + 1011348
6   chromedriver                        0x0000000104e7124d chromedriver + 873037
7   chromedriver                        0x0000000104e90175 chromedriver + 999797
8   chromedriver                        0x0000000104e70fc3 chromedriver + 872387
9   chromedriver                        0x0000000104e3f5c2 chromedriver + 669122
10  chromedriver                        0x0000000104e4059e chromedriver + 673182
11  chromedriver                        0x0000000105424350 chromedriver + 6849360
12  chromedriver                        0x0000000105428280 chromedriver + 6865536
13  chromedriver                        0x0000000105406737 chromedriver + 6727479
14  chromedriver                        0x0000000105428d0e chromedriver + 6868238
15  chromedriver                        0x00000001053f6084 chromedriver + 6660228
16  chromedriver                        0x0000000105445a18 chromedriver + 6986264
17  chromedriver                        0x0000000105445bd6 chromedriver + 6986710
18  chromedriver                        0x0000000105456f78 chromedriver + 7057272
19  libsystem_pthread.dylib             0x00007ff81a64f1d3 _pthread_start + 125
20  libsystem_pthread.dylib             0x00007ff81a64abd3 thread_start + 15
"
ppeumppeum,2,정보를 가져올 수 없음,"정보를 가져올 수 없음: Message: 
Stacktrace:
0   chromedriver                        0x000000010545fab8 chromedriver + 7092920
1   chromedriver                        0x000000010545739a chromedriver + 7058330
2   chromedriver                        0x0000000104dfdd70 chromedriver + 400752
3   chromedriver                        0x0000000104e4cbc3 chromedriver + 723907
4   chromedriver                        0x0000000104e4cec1 chromedriver + 724673
5   chromedriver                        0x0000000104e92e94 chromedriver + 1011348
6   chromedriver                        0x0000000104e7124d chromedriver + 873037
7   chromedriver                        0x0000000104e90175 chromedriver + 999797
8   chromedriver                        0x0000000104e70fc3 chromedriver + 872387
9   chromedriver                        0x0000000104e3f5c2 chromedriver + 669122
10  chromedriver                        0x0000000104e4059e chromedriver + 673182
11  chromedriver                        0x0000000105424350 chromedriver + 6849360
12  chromedriver                        0x0000000105428280 chromedriver + 6865536
13  chromedriver                        0x0000000105406737 chromedriver + 6727479
14  chromedriver                        0x0000000105428d0e chromedriver + 6868238
15  chromedriver                        0x00000001053f6084 chromedriver + 6660228
16  chromedriver                        0x0000000105445a18 chromedriver + 6986264
17  chromedriver                        0x0000000105445bd6 chromedriver + 6986710
18  chromedriver                        0x0000000105456f78 chromedriver + 7057272
19  libsystem_pthread.dylib             0x00007ff81a64f1d3 _pthread_start + 125
20  libsystem_pthread.dylib             0x00007ff81a64abd3 thread_start + 15
"
ppeumppeum,3,정보를 가져올 수 없음,"정보를 가져올 수 없음: Message: 
Stacktrace:
0   chromedriver                        0x000000010545fab8 chromedriver + 7092920
1   chromedriver                        0x000000010545739a chromedriver + 7058330
2   chromedriver                        0x0000000104dfdd70 chromedriver + 400752
3   chromedriver                        0x0000000104e4cbc3 chromedriver + 723907
4   chromedriver                        0x0000000104e4cec1 chromedriver + 724673
5   chromedriver                        0x0000000104e92e94 chromedriver + 1011348
6   chromedriver                        0x0000000104e7124d chromedriver + 873037
7   chromedriver                        0x0000000104e90175 chromedriver + 999797
8   chromedriver                        0x0000000104e70fc3 chromedriver + 872387
9   chromedriver                        0x0000000104e3f5c2 chromedriver + 669122
10  chromedriver                        0x0000000104e4059e chromedriver + 673182
11  chromedriver                        0x0000000105424350 chromedriver + 6849360
12  chromedriver                        0x0000000105428280 chromedriver + 6865536
13  chromedriver                        0x0000000105406737 chromedriver + 6727479
14  chromedriver                        0x0000000105428d0e chromedriver + 6868238
15  chromedriver                        0x00000001053f6084 chromedriver + 6660228
16  chromedriver                        0x0000000105445a18 chromedriver + 6986264
17  chromedriver                        0x0000000105445bd6 chromedriver + 6986710
18  chromedriver                        0x0000000105456f78 chromedriver + 7057272
19  libsystem_pthread.dylib             0x00007ff81a64f1d3 _pthread_start + 125
20  libsystem_pthread.dylib             0x00007ff81a64abd3 thread_start + 15
"
ppeumppeum,4,972,0
ppeumppeum,5,440,0
