단어,빈도
나이키,454
컬러,153
구매,101
제품,95
신발,94
운동화,87
출시,82
블랙,73
너무,72
러닝,72
추천,72
디자인,68
화이트,67
입니다,66
하는,65
에어,62
사이즈,60
발매,58
실버,56
링크,54
일리,54
스니커즈,53
프로필,50
브랜드,50
좋은,49
있는,49
오늘,48
아웃,47
모음,46
모델,45
착용,44
Nike,43
nike,42
해서,41
가격,41
croketofficial,40
화면,39
터치,39
맥스,38
포인트,38
합니다,37
운동,37
로우,37
블루,36
로고,36
협업,36
공개,36
그레이,34
아디다스,34
여름,33
요즘,33
느낌,33
가을,31
진짜,31
보메,31
NIKE,31
조합,31
신상,30
입고,30
사진,30
예정,29
많이,28
색감,28
자켓,28
그린,28
국내,28
되는,27
사람,27
하면,27
시작,27
코디,27
핑크,27
패션,27
되었습니다,26
에어포스,26
새로운,26
레이스,26
덩크,26
모든,26
겨울,25
하세요,25
다양한,25
신기,25
생각,25
매력,25
메탈,24
샥스,24
확인,24
정말,24
특징,24
지금,24
소식,24
아이템,24
상품,23
알려,23
보세요,23
코르,23
되어,23
있습니다,23
커플,23
26,23
통해,22
문의,22
인기,22
찰떡,22
매장,22
콜라보,21
뉴진스,21
가장,21
없는,21
컬렉션,20
주문,20
이미지,20
태그,20
fashionandstyleofficial,20
존예,20
unboxingnote,20
뉴발란스,20
매일,19
품절,19
팬츠,19
색상,19
nikeseoul,19
드립니다,19
선수,19
스타일,19
다시,19
같아요,19
공식,19
슈즈,19
정보,19
판매,19
스타,19
처음,19
menwgirl,19
별로,19
우시,18
가지,18
취향,18
2000년,18
보디,18
했는데,18
수영복,18
포스,18
브라운,18
빈티,18
자크,17
가방,17
뮈스,17
같은,17
lesyndrome,17
아식스,17
레트로,17
하기,17
라인,17
올해,17
언니,17
스토어,16
많은,16
축구화,16
30,16
레이서,16
일링,16
지드래곤,16
했다,16
역시,16
소재,16
양말,16
했습니다,16
curationclub,16
영감,16
트렌디,15
실물,15
레드,15
됩니다,15
꿀템,15
10만원,15
프리미엄,15
예쁜,15
6032,15
참스,15
스포츠,15
보고,15
보이는,14
최근,14
적용,14
제작,14
유행,14
24,14
28,14
가능,14
안감,14
하게,14
9월,14
싶은,14
정도,14
트랙,14
6000,14
지난,14
다운,14
Bode,14
주말,13
2024년,13
하며,13
하고,13
해외,13
KRW,13
신고,13
탄생,13
의류,13
최초,13
셀럽,13
진행,13
업데이트,13
시즌,13
완전,13
후디,13
만나,13
받아,12
킬샷,12
dailyfashionnews,12
스텀,12
선택,12
디테일,12
소개,12
우먼,12
코리아,12
선정,12
이후,12
이제,12
ㅎㅎ,12
하여,12
formen,12
가능한,12
여성,12
모아,12
근데,12
수영,12
FW,12
테크,12
Black,12
위해,12
직접,11
11월,11
아직,11
그냥,11
떠요,11
ladygoodtip,11
기존,11
어울리는,11
편하고,11
리스,11
경험,11
브라,11
부분,11
신는,11
전세계,11
미국,11
1000,11
사용,11
할인,11
무조건,11
꿀팁,11
라이트,11
노이즈,11
플랫폼,11
오로라,11
파라,11
10,11
날씨,11
FG,10
하루,10
디자이너,10
오픈,10
화보,10
제공,10
shoestruck,10
파스텔,10
페가수스,10
한정,10
우븐,10
새롭게,10
100,10
갖고,10
창고,10
신어,10
조던,10
color,10
높은,10
드릴께요,10
편한,10
zip,10
올려,10
홈페이지,10
todaygoodtip,10
없이,10
일정,10
어깨,10
베르디,10
가슴,10
심플,10
마지막,10
어퍼,10
문화,10
활용,10
todaywhat,10
준비,10
마음,9
newjeansofficial,9
입기,9
받은,9
추가,9
대해,9
2020년,9
오랜,9
플라이,9
찾아,9
공유,9
사랑,9
레깅스,9
러너,9
디너,9
2일,9
보르도,9
오후,9
SE,9
했던,9
이유,9
편하게,9
9천,9
기준,9
예상,9
Air,9
한국,9
가볍고,9
좌표,9
오버,9
20,9
좋아하는,9
후드,9
않은,9
아트,9
주목,9
선물,9
웨어,9
메쉬,9
오전,9
사실,9
unnitip,9
기술,8
커버,8
투맨,8
플라스틱,8
운동복,8
업뎃,8
goodtip,8
맞춰,8
보여,8
기념,8
myulive,8
밴드,8
윈드브레이커,8
귀여운,8
쇼핑,8
아주,8
필수,8
종류,8
자수,8
크로켓,8
바지,8
추후,8
해주세요,8
기본,8
cm,8
현대,8
모습,8
보기,8
스터드,8
팔로우,8
점퍼,8
서밋,8
댓글,8
현재,8
이렇게,8
엄청,8
클래식,8
인스타,8
담아,8
표현,8
받는,8
고민,8
드려요,8
뮤트,8
휘뚤마뚤,8
하이컷,8
자연,8
사이,8
친구,8
뮤뮤,8
공홈,8
시대,8
하체,8
클럽,8
이즈,8
행사,8
미래,8
and,8
패딩,8
그래픽,8
포착,8
어제,8
글로벌,8
The,8
한번,8
12월,8
무드,7
상태,7
레더,7
브이,7
한화,7
되었던,7
축구,7
콜라보레이션,7
장만,7
재질,7
2024,7
SNKRS,7
voguekorea,7
레이어,7
이쁜,7
좋을,7
어울려,7
걱정,7
있을,7
평가,7
뭔가,7
경매,7
투시,7
아우,7
서울,7
꾸안,7
유니크,7
뒀어요,7
케이,7
색깔,7
DM,7
쉐입,7
미미,7
저장,7
6일,7
주도,7
네이버,7
ㅋㅋㅋ,7
보니,7
데님,7
화제,7
흡수,7
카본,7
같은데,7
New,7
일본,7
쿠셔닝,7
스웻,7
당시,7
클릭,7
제일,7
주세요,7
초반,7
다양하게,7
벌써,7
3일,7
50,7
확실히,7
살짝,7
size,7
선보인,7
4일,7
영상,7
쿠폰,7
일반,7
리지,7
아스트로,7
코트,7
특별한,7
시리즈,7
계속,7
네이비,7
10월,7
번째,7
여러,7
슬라이드,7
나도,7
시티,7
에센셜,7
골지,7
그대로,7
GS,7
oo,6
살까,6
들어간,6
많으면,6
누가,6
디지털,6
사주면,6
부착,6
열심히,6
무신사,6
가젤,6
베스트,6
응모,6
해야,6
조켔,6
문제,6
예쁘고,6
온다,6
함께한,6
onlootd,6
그래버,6
휘뚜루마뚜루,6
기성,6
180,6
슈프림,6
버핏,6
하면서도,6
최애,6
흔하지,6
보그,6
아울렛,6
와플,6
존재,6
스웨이드,6
1일,6
주피터,6
더욱,6
사주는건,6
참고,6
감성,6
된장,6
바로크,6
분들,6
살로,6
아니라,6
슬슬,6
퍼렐,6
윌리엄스,6
했는데요,6
리스트,6
레이,6
낭낭,6
matsumagazine,6
자체,6
엉덩이,6
기도,6
특히,6
형태,6
kg,6
범고래,6
결과,6
퀄리티,6
the,6
관심,6
있음,6
반바지,6
넘겨,6
UPDATE,6
polobychance,6
있다는,6
궁금하다면,6
레터,6
미드,6
편안한,6
지향,6
Force,6
goodhoneytip,6
ㅋㅋㅋㅋ,6
중창,6
구성,6
minsufashion,6
혁신,6
입수,6
바람,6
xxxibgdrgn,6
꾸안꾸룩,6
내일,6
좋아요,6
포탈,6
해석,6
원래,6
사는,6
입는,6
보자,6
goodtipunni,6
달리기,6
사이트,6
바람막이,6
2025년,6
우정,6
한다,6
최고,6
포함,6
스캇,6
니트,6
디테,6
퍼컬,6
없다,6
타비,6
인테르,6
일이,6
라이즈,5
Kith,5
이름,5
AS,5
남겨,5
트렌드,5
셔츠,5
기대,5
비교,5
취급,5
스트레이트,5
마원,5
SHOES,5
세트,5
예고,5
2만원,5
러버,5
currererunners,5
스트릿,5
가는,5
신축,5
feedfashion,5
버스,5
소문,5
xs,5
Skirt,5
양식,5
있는데요,5
포트,5
담긴,5
라인업,5
프린팅,5
싶다,5
트레이닝,5
경우,5
비주류,5
그립,5
티셔츠,5
골라,5
NSW,5
계정,5
일상,5
채널,5
자주,5
OUTFIT,5
고생,5
해당,5
헤라,5
역대,5
클라우드,5
PRM,5
되며,5
새로,5
에너지,5
때문,5
보내주시면,5
9시,5
내내,5
대상,5
많아서,5
있어서,5
6월,5
다크,5
되었는데요,5
07,5
swimmetroofficial,5
카페,5
사야,5
11,5
런닝,5
당첨,5
좋고,5
가죽,5
완벽한,5
니당,5
부담,5
저격,5
발목,5
시절,5
mconveni,5
이야기,5
저녁,5
실루엣,5
나이,5
졸린,5
있다면,5
있죠,5
디엠,5
평소,5
드리고,5
살이,5
자랑,5
계절,5
감사,5
스피리,5
예뻐,5
스펙,5
꺼내,5
전국,5
정가,5
참여,5
등장,5
움직임,5
완성,5
아이코닉,5
of,5
개인,5
가능하세요,5
다닐,5
뿜뿜,5
달리,5
나일론,5
다이어트,5
자세한,5
Shoes,5
전체,5
아이스,5
Zoom,5
작품,5
입문,5
이해,5
감도,5
우승,5
코드,5
재탄생,5
Outer,5
방문,5
예쁜데,5
화로,5
Vomero,5
잔디,5
되고,5
10시,5
대한,5
들고,5
되지,5
11만,5
덕분,5
정식,5
72,5
않아,5
오는,5
맞이,5
엘리트,5
깔끔한,5
알파,5
니시,5
상징,5
스토리,5
밑창,5
13일,5
개성,4
andmoreshoes,4
얼른,4
Grabber,4
꾸민,4
마케팅,4
각인,4
딱인,4
Top,4
djonzo,4
OOTD,4
작년,4
하실,4
플레이,4
하러,4
부드러운,4
구경,4
fashion,4
편안함,4
눈물,4
수트,4
모어,4
신세계,4
원피스,4
강남,4
Astro,4
바닥,4
피부,4
아침,4
ladyprettyspace,4
낮은,4
내년,4
허리,4
왔습니다,4
독특한,4
모자,4
kaaa,4
했으며,4
미니,4
되었으며,4
틴트,4
베이비,4
스니커,4
되었다,4
따르면,4
리본,4
애정,4
넘나,4
1970년,4
주요,4
공구,4
수모,4
신으면,4
SNS,4
옆구리,4
언스,4
포스트,4
데이,4
다리,4
갖고싶다,4
안해,4
멋쁨,4
챙길,4
honeytip,4
박스,4
상대,4
director,4
두고,4
그런,4
되었어요,4
나온,4
보임,4
코어,4
LD,4
다르,4
GTX,4
찾고,4
피드,4
가요,4
쇼츠,4
insightcokrfashion,4
시장,4
미디엄,4
키스,4
