Product,Review 1,Review 2,Review 3,Review 4,Review 5,Review 6,Review 7,Review 8,Review 9,Review 10,Review 11,Review 12,Review 13,Review 14,Review 15,Review 16,Review 17,Review 18,Review 19,Review 20,Review 21,Review 22,Review 23,Review 24,Review 25,Review 26,Review 27,Review 28,Review 29,Review 30,Review 31,Review 32,Review 33,Review 34,Review 35,Review 36,Review 37,Review 38,Review 39,Review 40,Review 41,Review 42,Review 43,Review 44,Review 45,Review 46,Review 47,Review 48,Review 49,Review 50,Review 51,Review 52,Review 53,Review 54,Review 55,Review 56,Review 57,Review 58,Review 59,Review 60,Review 61,Review 62,Review 63,Review 64,Review 65,Review 66,Review 67,Review 68,Review 69,Review 70,Review 71,Review 72,Review 73,Review 74,Review 75,Review 76,Review 77,Review 78,Review 79,Review 80,Review 81,Review 82,Review 83,Review 84,Review 85,Review 86,Review 87,Review 88,Review 89,Review 90,Review 91,Review 92,Review 93,Review 94,Review 95,Review 96,Review 97,Review 98,Review 99,Review 100,Review 101,Review 102,Review 103,Review 104,Review 105,Review 106,Review 107,Review 108,Review 109,Review 110
루카 3 PF,농민화로 구입신제품 색상발목 잘 잡아주고뭉퉁한 편 가볍고 푹신본드접합 뽑기운 있음맥스90 270 신음한 사이즈 업개인의견임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자이언 3 PF '리퀴드 메탈',멋있어서 샀는데 출퇴근용으론 산고벗기가 불편해서 힘들것 같고 운동할때 좋을것 같네요,피팅감이 완벽함.실물로 봤을때 색상이 완벽 그자체임.사이드 스탭시 전혀 밀리지 않는 접지력을 보임.,"발목이 좋지 않아서 웨이트 할때 농구화를 이용합나다.자이언3는 코비처럼 발 전체를 단단하게 잡아주고, 지상고도 높지 않아서 안정적으로 무게를 들 수 있습니다.단, 인솔 표면이 고무재질로 코팅되어 있어서 두꺼운 양말을 신을 경우 양말이 말리는 일이 있습니다.","평소 나이키 270신는데, 이 농구화도 270으로 주문했습니다. 발길이 딱맞고, 평소 발볼이 큰편이 아니라 크게 불편하지 않을줄 알았는데 살짝 조이는 감이 있습니다. 근데 조금만 신으면 늘어나서 딱 맞을거 같네요. 근데, 흰색감이 생각보다 엄청 이쁜 흰색은 아니네요. 개인적 취향과 조금 다름. 농구퍼포멈스는 괜찮을거 같습니다.",난 발볼과 발등이 쫌 있는편임. 하지만 사이즈가 없어서 260을 구매하게됨. 솔직하게 말하면 칼발 아닌 이상 반다운은 비추임. 원래 265를 신음에도 발길이는 딱 신기 좋게 쫌 크게 나왔음. 문제는 발볼이지. 물론 앞에서 말했듯 내가 발볼리 있는 편이라 더 그럴수도 있겠지만 발볼이 정말 작음. 사이즈 고르려고 나처럼 고생하면서 유튜브 영상 다 뒤져보고 그러는 사람이 많을거같아서 주관적인 의견으로 추천해보자면 정사이즈가 가장 알맞을거같음. 처늠에는 쫌 발볼이 작다고 느껴질수 있는데 어퍼가 유연한 편이라 잘 늘어남. 그렇다고 늘어난채로 고정인게 아니라 탄성도 좋아서 다시 돌아옴. 정사이즈 사고 웜업하면서 쫌 뛰고 경기 하면 딱 좋을듯.,코비8의 베이스 느낌 아웃솔이나 접지플레이 중간중간 손으로 먼지 한번씩만 쓸어내면 아주좋은편 피팅감은 코비5에 가까운 피팅감 칼발 이 아니고 일반적인 발이다 싶으면 무조건 반업 추천 전반적인 쉐입은 코비11 느낌 개인적으로는 근래 나온 농구화들중 만족하는중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북 1 EP '할로윈',"디자인,피팅,접지,쿠션 나무랄데없는 모델입니다. 가격도 합리적이고 괜찮은 선택이네요사이즈는 길이감은 조금 작은느낌정사이즈 기준 토박스,발등은 여유롭습니다.",리뷰보고 정사이즈를 사야하나..반업을 해야하나 고민을 많이 했는데결국 반업해서 주문을 했습니다근데 제가 신어본 농구화중 제일 편하고..발볼이 제가 많이 큰편인데도 너무 좋았습니다나이키를 좋아하는 사람들은 역시 디자인이겠죠..그 만큼 디자인도 나이키 처럼 빛 깔 납니다!#멤버데이즈리뷰이벤트,개인적으로 올해 최고의농구화 입니다. 접지 피팅 다만적스럽습니다. 다만 쿠션이 조금아쉽지만 부족한 정도는 아니며 신을수록 손이 더 가는 농구화 같습니다. 사이즈는정사이즈 추천,"실물이 너무 이쁘네요.........발도 편안하고,,,,,,접지가 너무 좋습니다.........",정사이즈 편하게 잘맞아요뒷 줌 잘 느껴지고앞쿠션은 쏘쏘접지는 굿,실제가 더 이쁘네요. 겉감도 고급스럽고 잘 신을 것 같습니다.,플레이뿐 아니라 일상용으로도 충분할 것 같은 디자인이라 선택했어요농구 하는날 내내 신을수 있는??야외 코트 취미로 연습하는 정도라서요의외로 바닥이 날렵해요발 가운데 안쪽으로 쏙 들어가는 부분이 얇구나 생각했고발목은 예상외로 짱짱하게 잡아주네 싶었습니다이번 주말에는 농구공 들고 나가봐야겠네요#멤버데이즈리뷰이벤트,"우선 할로윈 버전 구매했고, 아웃솔은 야광입니다. 지상고가 높은 착화감이나, 안정적이고 편안합니다. 유튭 리뷰에서 내측 바깥측 쿠션이 달라 불안하다는데, 그런 느낌은 없었고, 바깥측은 아웃솔이 바깥까지 올라와 있는 형태입니다. 내전 있는 사람들만 불안할 것 같습니다. 텅은 일체형 또는 좌우 붙어있는 텅이 아니라 아쉽습니다; 사이즈감은 발볼은 칼발이라 모르겠고, 길이감 기준으로 정사이즈 추천합니다. 전 290 구매했고, 길이가 약간 여유있으나, 이지 700처럼 약간 발톱부분 어퍼가 끝으로 갈수록 낮아지는 스타일이고 앞코가 모아지는 스타일이라 정사이즈로 가면 좋겠어요.사이즈 참고는, 조던1, 3, 6, 8, 9, 10, 11 290mm (3, 6, 9,10 플레이시 285도 괜찮음),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조던 에어(Heir) 시리즈 PF '화이트/블랙 볼트',솔직 리뷰 ㅋㅋ 배송 겁나 빠룸가성비 쵝오 갑최근 구매한 밧슈 중 베스트오브베스트신어봐야 알아요,가벼워보이지만 발울 넣었을때 상당히 탄탄하고 안정감이 있습니다아웃솔 접지도 괜찮고 전반적으로 높지 않은 느낌이며 피팅도 좋습니다다만 길이감이 조금 깁니다(테이텀스타일?)275 기준 기존 농구화나 280런닝화보다 길었습니다뒷축이 튀어나와 그런듯 하지도 하지만 확실히 길긴 합니다 이점 참고하셔서 구매하세요가성비 좋은 조던라인 밧슈라고 생각합니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조던 원 테이크 5 PF,"평소 사이즈: 285 / 주문 사이즈: 295착용감: 앞부분이 단단히 고정되어 많이 타이트함(발볼 넓은 분들: 두 사이즈업 주문 추천)디자인: 마음에 듦신다보면 적응이 된다? 음...농구화로는 비추, 단거리 캐쥬얼용으로는 ㅇㅋ",꽉껴서 안에 고무?  가위로 자름 신발끈은 장식품일뿐 그이상 그이하도 아니다,쫀쫀하고 매우 단단하다.일단 로우탑 농구화 치고는 상당히 무거운편입니다.이유는 XDR(Extra Durable Rubber)를 채용하여 점프시 자세를 꽉 잡아주는 반면 처음 신는 경우농구화가 상당히 하드합니다. 이는 여러번 신어서 길을 잘 들여놔야 할거 같아요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이키 G.T. 점프 2 EP,남자칭구 선물로 삿어요 신어보더니 좋아하네요 평보고 싯는데 잘산거같아요,이 농구화를 신고 플레이하니 고질병이었던 허리가 안 아파요 그래서 좀 더 과감한 플레이를 할 수 있게 되었습니다 완전 강추,"진짜 농구화가 편하네요!푸마, 언더아머랑 비교해도 비교가 안될 정도로 성능도 좋고 발볼,발등러한테도 우수하게 핏이 좋네요!4수끝에 인생밧슈를 만났네요~~",쿠션이 좋아서 확실히 무릅 허리가 덜 아프네요. 또 매우 높고 발목지지는 중간정도라 발목테이핑 내지 보호대는 필수 입니다. 내구성이나 착화감 접지력은 최상급으로 만족스럽습니다.,"진짜 붕붕 나는 것 같습니다.^^ 착화감도 좋고, 무엇보다도 쿠션이 대박입니다. 개인적으로 줌바댄스할 때 신으려고 샀는데, 진짜 접지력, 점프 후 충격흡수 흠 잡을 때가 없네요. 강추강추합니다. 실물도 진짜 예뻐용~빨리 널 찾았어야 했어!^-----^","말해뭐해 쿠션최고입니다.센터용으로 알려졌으나..개인적으로 선수, 엘리트 아니시면..그냥 즐농, 동호인이나 아재볼러라면 가드포워드도 강추합니다.(실내용으로요)런닝화같은 가벼움은없고, 지상고 좀 있지만 높아도 안정감과 쿠션쪽으로 진짜 좋아요. 처음에 높아서 당황했는데 막상뛰어보면 오히려 키커진느낌이라 좋으네요.ㅋ",정말정말 좋아요! 제가 센터 인데 정말 좋아요  강력 추천 👍,빅사이즈 없어서 크림에서 결국 구매ㅠ핑크색 그냥 실물이 훨씬 이쁘고 쿠션은 무조건 이 신발이 원톱있을때 사야겠다 역시,오늘 배송받아서 바로 운동 ㄱㄱ.사이즈 정사이즈에 잠스트a2-dx 보호대 착용후 운동했는데 보호대를 착용하고도 피팅에 큰 불편감은 없었고 지상고가 조금 있긴하지만 크게 신경쓰이진 않았어요.가장큰 장점은 정말 쿠션은 대박이더라고요.탄성도 좋고 반발력도 좋아서 풍성한 쿠션을 좋아하시는 분들 한테는 최고의 선택일것 같아요.ㅎㅎ,발도 편하고 쿠션도좋음 다만 사이드스텝 밟을때 약간 미끌림,"요즘 농구화 구경 하기가 힘들어서 사이즈 때문에 고민이 많았는데, 유튜브 와 인터넷 리뷰 보고 정사이즈로 시켰는데 잘 맞네요.발볼쪽은 상관없는 것 같고, 발등이 높으시면 사이즈 업 하시는게 좋을듯 합니다.","족저근막염과 무릎인대 부상을 안고 있는 볼러입니다. 힐쪽 쿠션이 편안하고 충격을 잘 받아줍니다. 너무 물렁하지도 않고 잘 받아주며, 지상고는 높지만 발목 피팅을 비롯해서 전반적인 피팅이 상당히 안정감이 있어서 불안하지 않습니다. 앞쪽 줌포드도 개인적으로 상당히 좋습니다. 드리블 돌파 위주의 플레이 스타일이 아니라면 잘 맞을 듯 합니다.","최근에도 많은 제품을 신어 봤지만  오늘 처음 신고 운동했는데 정말 좋네요.격한 움직임이 많은 배드민턴을 하고 있는데, 좌우 움직임이나 점프시 착지할때 참 편안함이 넘 좋습니다. 격한 움직임이 많은 배드민턴을 하고 있어 발목까지 올라오는 미드 스타일을 선호하는데, 운동하는 내내 발일 꼽 잡아주는 편안함과 점프스매싱 할때 떨어지는 충격도 없고 정말 뽀송뽀송하게 신고 뛰었습니다. 강추 드립니다. ㅎ오늘 하루 신은 리뷰지만 넘 좋아서 후기 남깁니다. 참 디자인은 덤으로 넘 예뻐요,.,.제품 곳곳에 포인트 있는 컬러감이 화려하면서도 전체적으로 어울려 과하지 않은 이쁨을 보여 주네요.기회가 되면 더 신어보고 구체적인 후기 남길께요.","gt jump 1 보다 발볼이 넉넉함.개인적으로 포지션이 높지만 그렇게 불편하지 않고,쿠션감은 좋은편이고, 다만 아웃솔이 조금 애매하지만 센터, 파워 포워드 움직임이 많지 않는 포지션인 경우에는 상관없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자 2 '파운데이션' EP,"지티컷3 신다가 자2도 신어보았습니다.동사이즈기준, 자2가 앞쪽 발가락부분이 조금 타이트하게 느껴집니다. 앞으로 더 신어봐야겠지만 가격대비 만족합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이키 G.T. 허슬 3 EP,"구매후 5:5 각종대회 및 리그 소화 하였습니다. 최소 7분 4쿼터 X 8경기 이상 신어본 결과 리뷰입니다. 정사이즈가 처음에는 답답하고, 특히 발등이 뿔룩 올라와서 핏이 안이쁘다고 생각할 수 있는데, 저 처럼 여러경기를 소화하고, 신다보면 니트어퍼가 늘어나서 점점 핏이 맞춰지는 느낌입니다. 오히려 반업했으면 지금 쯤 크다고 느꼈을 듯 합니다. 두꺼운 인솔도 어느정도 쿠션이 죽고, 발바닥에 잘 맞춰집니다. 플레이용으로는 정사이즈가 맞습니다. 빡게임 몇번 뛰다보면 아실 겁니다.","피팅 완벽 하고 들어가긴 빡쎈거에 비해 안에 공간감은 여유있음  발등은 낮음사이즈 정사이즈  볼은 딱 정사이즈인데 길이가 딱 맞음 스포츠 양말 두꺼운거 신으면 작고 일반 양말은 맞음힙슬립 전혀 없으나 볼에 맞춰  반업해도 끈이 완전 꽉 묶이는 스타일이라 반업해도 무방할듯드랍인 인솔 특유의 양말 밀림이 있긴한데 양호함기대했던 쿠션은 좋긴한데 지티 점프 1,2에 비하면 그냥 좋은정도지티 점프 보다 길이는 짧고 볼은 여유있음지상고 높은거 모르겠음 안정성 떨어지지 않음",오늘 스타필드를 갔다가 푸른 색 제품이 있길래 잔고 생각을 잊고 질렀는데요. 진짜 쿠셔닝은 제가 신어본 농구화 중 TOP3안에 듭니다. 돈이 아깝다는 생각이 전혀 들지 않았어요😄,착화감 100000점다만 발등 돼지 될 수 있으니 예쁘게 신으려면 반업 필수입니다.어짜피 길이도 다른 농구화보다 짧아요,정사이즈 정말 딱 맞아요 길이는 여유 없음발등이 있는편인데  크게 신경쓰이지 않고 편하게 신을 거면 반업도 괜찮을것 같음접지도 괜찮은거 같고쿠션 너무 좋음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자 2 '나이트메어' EP,"디자인,접지 좋은데 쿠션은 전작보다 아쉬운 느낌이있고 사이즈는 정사이즈 가는게 맞는거 같습니다.제가 발볼 넓은 사람인데 반업해서 샀는데 발볼은 맞긴하지만 길이감 때문에 두꺼운 양말을 신어도 길이감이 너무 많이 남았습니다 정사이즈 신었어도 괜찮았을거 같네요.","좀 더 가벼운 타입의 가드들에게 맞는 농구화.디자인적으로는 최고지만 가격에 비해 기능이 좀 아쉬움.무게, 지지력, 피팅은 상급.쿠셔닝은 중급 이하.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야니스 프릭 6 EP,#멤버즈데이리뷰이벤트# 어퍼가 부드러워 발볼은 불편하지 않고 끈은 밖에서 안으로 넣어 묶어야 피팅이 좋아짐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
