,Reviews,result
0,"가볍고 쿠션감이 좋다. 니트소재로 한 사이즈 업 추천 (평소 225 착용하나 해230 주문, 235 주문도 괜찮았을 것 같다는 생각이 듭니다.)",1
1,사이즈가 애매해서 2개의 사이즈를 구매했는데 조금 넉넉하게 신는 게 좋은 것 같애요! 그래도 발 건강에 좋을 것 같습니다.,1
2,추가구매 입니다. 다양한 색상 있으면 좋겠네요. 발이 편하고 이뻐서 자주 잘 신고있어요.,1
3,"불쌍한 내 발과 무릅을 위해 샀는데그냥 편하구요, 족저근막염이나 아치에 문제 있는분들에게 좋을것같아요.바운스되는 발에 운동이 되는것같구요.발걸음을잡아줘서 (뒷꿈치부터 땅에 닿게하는)운동이되서 편하면서도 힘든느낌? 너무딱딱한 신발에 길들여져 있었던것 같아요.",1
4,비싸지않은 가격에 신어도 예쁨. 골드와 그린의 조화가 좋고 아주 발이 편한데다 키높이 효과까지 있어 좋아요. 평소 신는 서이즈 주문했눈디 좋아요,1
5,런닝화 처음 신어보는데 완전 대만족입니다발에 착 붙는 느낌에다가 걷거나 뛸 때 앞으로 더 잘 나갈 수 있는 힘이 있어요완전 잘산듯..흰색 사려다가 갑자기 품절돼서 보라색으로 구매했는데 더 만족스러워요존예..얼룩이 묻어있어서 좀 그랬지만 괜차나여어차피 운동하다보면 더러워지니까,1
6,저녁으로 운동삼아 걷는데 푹신하고 좋아요발볼 발등 높은데 평소 270신어서 반업해서 275신으니 편하고 좋네요아웃솔도 내구성이 좋아서 오래신을듯해요,1
7,발이 편하고 엥긴데요 키도 커지고 검은색이라 튀지않고 모두 만족한답니다.,1
8,최근 신어본 신발 중에 제일 편합니다.사이즈는 정사이즈 신으면 됩니다,1
9,ㄴ ㅓ무나...예쁩니다. ˆ̑՝̮ˆ̑❤︎ 세상 아까워서 못신겠어요. 편한건 당연하고 가볍고 착화감이 미쳤네요. 워킹화랑 러닝화랑 고민하다가 워킹화신고 뛰어도 괜찮을것 같아구매 했습니다.실내러닝에는 문제가 없네요. 편안합니다. 블랙이랑 두가지 구매했는데 예쁜건 화이트가 진리네요.ㅎㅎ,1
