,Reviews,result
0,#래트로러닝신발 실물 깡패입니다.어느 코디든 찰떡으로 어울립니다,1
1,영롱 그 잡채에요😍😍신랑이랑 같이 신으려고 커플로 구매했어요메탈릭실버 제 최애컬러😍😍,1
2,은색이 부담스러울듯 했으나 막상 착용하면 굉장히 예쁩니다. 발도 엄청 편안하고 착화감이 좋네요. 정사이즈 구매하면 딱입니다.,1
3,"평소에는 나이키 265를 신지만, 반 사이즈 업해서 신으니 좀 더 편하고 좋네요~^^P6000 카키 베이지 메탈릭 플래티넘 실버는 따뜻한 베이지 색감에 화려한 실버 색상이 조합되어 있어서, 지금 계절에 너무 잘 어울리네요. 매우 예쁩니다.착화감도 매우 좋고, 쿠션감이 뛰어나서 러닝시에도 무릎에 부담이 없어요~! 완전 강추 합니다. 다른 색상도 사고 싶네요~",1
4,영롱그자체입니다신랑이랑커플장만하고빨간색들어간것도 삿징ᆢㄷ,1
5,"요즘 힙하게 옷을 많이 입잖아요~힙한옷에 딱 잘어울리겠다 싶어서 주문하게 되었어요받자마자 착용해보니 어느옷이나 다 잘어울리구요디자인도 너무 예쁜데 무게는 또 왜이렇게 가벼워요?!진짜 신발 안신은 것 같아요..디자인, 착용감, 가격 모두 다 잡은 상품이라너무 만족스럽습니다~^^사놓고 안신는 신발도 더러 있는데이 신발은 정말 자주 신을 것 같아요아니 자주 신을거예요!오늘 신고 나오자마자 신발 뭐냐고..다들 너무 예쁘다고 난리났습니다 :)고민되시는분 사진보다 실물이 더 예쁘니고민하지마세요~!",1
6,#레트로러닝p6000 실버를 보는순간 이거다!하고 바로 주문했어요 ㅋ워낙 실버색상을 좋아하기도 하지만 p6000실버색상 너무 이쁘고 겨울에 신어도 괜찮을거 같아요.직장에서 택배수령해 신어보니 동료들이 너무 이쁘다고 하네요. 사이즈는 반업했더니 너무 편해요. 강추입니다!!,1
7,2년 전에 사서 잘 신고 지내다가 이번에 다른 색깔로 또 구매합니다.여지껏 신어본 운동화 중에 가장 편하고 좋음... 발볼도 적당하고 걸어다닐 때 편하고 짱입니다. 내 인생 신발은 P-6000으로 정했어요,1
8,디자인과 컬러는 말할것도없이 멋지네요!!무채색옷에 딱이네요.걸을때 착용감&쿠션감 다 좋아요~,1
9,역시 실물이 더 이쁘네요착화감도 편하고 정말 구매 잘한거 같아요#레트로러닝,1
10,#레트로러닝색감도 이쁘고 착용감도 좋아요^^간만에 맘에드는 디자인이라 만족합니다실물이 더 낫네요 ㅎ,1
11,"부담없이 편하게 신을수 있는 신발이고, 디자인, 색상 등이 무난하면서 포인트가 됩니다. 정사이즈 280인데 280, 285 둘다 잘 맞았지만 조금 더 편하게 신고자 285 선택하였습니다.",1
12,여행계획이 있어 운동화찾던중 좋은가격의 쏙 맘에 드는 디쟌을 만났네요 항상 235사이즈가 잘앚아 정사이즈 주문했구여 맨발에 발끝.살짝남는 정도네요끈이 좀 그렇지만 전체적으로 만족스러워여신랑도 다른 색으로 주문해줄까 합니다.,1
13,포인트 되는 유광실버 색상이라 맘에 들어요정사이즈고 가볍워서 좋아요,1
14,"#레트로러닝평소에 여러 착장에 무난하게 신기 좋은 신발 찾다가 구매하게 되었습니다스트릿, 캐주얼에 잘 어울리면서 러닝화 답게 착화감이 편하고 매쉬로 통기성이 좋아 오래 걸어도 덜 피로 했습니다색상은 취향따라 갈리겠지만 여기저기 신기에는 카키/메탈릭실버가 좋았습니다발볼 넓으신분들은 반업 추천드립니다",1
15,"p-6000 한번 신어보니 세상세상 가볍고!착화감이 예술~~~^^이제 겨울이라~  톤다운 된 따스한 색상으로 구매해봤어요!항상 느끼지만 홈페이지 색상보다 실물이 더 예뻐요!초스피드 배송, 무료반품까지 되니까뭔가 마음이 더 편한 쇼핑이었어요!#레드로러닝",1
16,"사이즈고민하시는 분 위해 후기 남겨요! 보메로 235신는데, 이것도 235 딱 잘 맞아요! 오늘 배송받아 신었는데 오래 신었던것 처럼 불편함 없이 너무너무 만족해요! 다른 색상으로도 구매하려고요!!!",1
17,디자인 이쁘고 편하고 가볍네요 정사이즈 구매했는데 반업 해야 좀 더 편하게 신으실수있음.,1
18,너무너무 이뻐요.직업상 검은색을 자주입는데딱 포인트 되고 사이즈도  정사이즈로하면 여유있네요.,1
19,사이즈도 정사이즈이고 기존에 신었던 시리즈였는데 너무 편해서 신상 컬러로 재구매 했는데 역시나 이쁘네요.딸아이것도 추가 구매예정이에요~,1
20,"기다렸던 제품이에요. 보자마자 바로 주문했어요. 발을 감싸는 느낌이 있어요.코르테즈,보메로 235신었는데 정사이즈 후기가 많아서 230으로 했더니 따악 맞아요. 첨엔 엄청 빡빡하더라구요.끈조절하구 며칠신었더니 좀 편해져서 잘신고 다녀요. 이옷저옷 다 잘어울려서 좋습니다!",1
21,일단 따뜻합니다~적당한 쿠션감도 느껴지구요~새신을 신고 지난주에 제주도 여행에서 오름을 오르는데도 전혀 불편함 없이 좋았어요~,1
22,신발너무편합니다. 와이프 두번째 재구매~부모님까지 편하다고 하십니다~~#레트로러닝,1
