,comment,author,date,num_likes
0,해당 영상의 42초 -49초에 나간 장면은 나이키 공식 운영 매장에 해당되지 않습니다. 시청자 분들의 혼선 없기 바랍니다.,@newskbs,2024-07-12T07:00:43Z,77
1,혼선이 생기게끔 자료화면을 넣어놓고 댓글로 띡 혼선없기 바랍니다?ㅋㅋㅋㅋ공영방송 수준이 유큐버들 영상만 못하네,@wjxhj-ow7jsiq_u6oq2,2024-07-14T00:35:18Z,60
2,폐점 떨이 할인,@DDEGURURU,2024-07-14T19:22:19Z,1
3,​@@wjxhj-ow7jsiq_u6oq2 딩동댕,@calvinsc5105,2024-07-15T07:15:01Z,3
4,49초-51초,@jocollet,2024-07-16T22:20:24Z,0
5,근데 왜 넣으셨어요?,@ACT-ti7eh,2024-07-17T00:41:56Z,8
6,나이키 장점이 가격대비 품질이 상당했는데 요즘보면 디자인만 신경쓴건지 마감이 무슨 나이키 짭퉁사는 기분임,@환이튭,2024-11-19T12:12:23Z,0
7,이쁜신발은 웃돈주고사야하는 나이키...  돈주고사고싶은데 신발이 없다... 매출?  제품살자격 뽑기나 공홈전용 제품 찍어내지말고 매장에좀 돌려라..,@playkid_777,2024-11-04T14:43:11Z,0
8,옷감재질은 형편없고 디자인도정말 한숨나오고 예전 나이키로고 하나때문에 사던 시절은 지나갔지..... 매장을가도 살만한물건이 없음,@09-lm7yr,2024-10-23T22:15:30Z,0
9,나이키뿐만 아니라 아디다스도 같이 품질상태 최악임 신발이든<br>의류든 한시즌<br>입고 버리는게 많음 <br>최근에산 바지도 2번정도 빨았더니 보플에 다늘어나서 버림 품질개선이 필요해보이긴함,@브허-y1v,2024-10-22T14:17:30Z,0
10,삼나스포츠로 돌아와 ㅋㅋ,@AFSPYBJ,2024-10-21T23:21:12Z,0
11,세력장난질이겠지,@갓세프시대의부활,2024-10-21T15:56:58Z,0
12,무릎꿇기 just do it ㅋㅋㅋ,@아레나아르테미스,2024-10-15T07:25:30Z,0
13,애가 신발살라고 가도 이쁜게 없어서 다른 매장감,@하악하악-j4c,2024-10-14T05:41:33Z,0
14,난지금사야지 그동안 못샀으니깐ㅠ,@일딴꼽아일딴꼽아,2024-10-12T09:57:30Z,0
15,나이키가 디자인 자체는 이쁘긴 한데… 품질이 너무 안 좋아짐 신발도 신발인데 옷감 원단도 쓰레기,@밍밍밍-j2j,2024-10-11T22:59:30Z,0
16,아 어쩐지 신발샀었는데 바금질도 그렇고 마감이 죡같아서 물어보니까 원래그랬데,@ljcpower2,2024-10-11T04:13:34Z,0
17,짝퉁도 판을 쳐요ㅜ,@병맛-i5n,2024-10-11T00:40:54Z,0
18,화승이  만들때가  가장 짱짱..    중국.베트남 생산부터  튼튼함 개나 줘버렸음...,@청보핀토스,2024-10-09T06:09:39Z,0
19,83년도인가 처음 나이키운동화 신었을 때가 기억나네.<br>어릴때라 너무 좋았었는데 학교에서 누가 훔쳐감 ㅜㅜ,@AMG_GLC43,2024-10-06T03:57:43Z,0
20,나이키는 국제상사에서 만들때가 제일편안한 운동화였죠 지금은 비싸고 발이불편해서 안사신어요 스케쳐가 최고 편해요,@SK-ou1bj,2024-10-05T20:02:37Z,0
21,저품질 고비용.  나이키 신발부터 알아봤다,@user-gf6kl2bq2,2024-10-03T05:35:49Z,1
22,요즘  싸구려 티에 로고만 박아서 팔던데 가격은 비싸고 오천원이면 사려고 했는데 예쁘지도 않고 터무니 없어서 그냥 지나가게 됀다,@달과6펜스-k9z,2024-09-30T12:58:26Z,0
23,나이키를 구매층이 이제 연령대가 40~50대로 높아진게 가장 큰 원인이죠<br>지금의 20 30대 구매층들은 다양한 브랜드와 트랜드가 다르기 때문에 나이키는 그냥 한물간 브랜드 일뿐이고<br>중국짝퉁이 너무 시장에 흔하게 저가형으로 풀리면서 말 그대로 개나소나가 된거죠 <br>오히려 짝퉁이 진퉁보다 더좋다는 말까지 나오는 상황..<br>디자인과 소재가 변화는 트랜드 시대를 못딸아가는 것도 한목한다고 보네요 너무 구림...반복되는 디자인으로 컬러로 우려먹음<br>80~90년 세대의 나이키는 고급이미지와 스포츠의류에 대명사였지만 00~10년세대로 접으면서 개나소나 싼마이로 전략함..<br>아디다스와 함께 시대의 끝자락에 와있다고 보면됨.. 그냥 브랜드로 사기보단 아울렛에서 싼마이로 사는 느낌이죠,@shield9952,2024-09-29T20:02:19Z,1
24,아식스 마라톤화 겁나 좋던데 <br>나이키는 10년전에도 그런제품 못만들더만 아직도 못만들겠지?<br>조던의 전성기때 가장 흥했는데 <br>안타깝네,@강태공-l6y,2024-09-29T18:05:32Z,1
25,올림픽이랑 인기랑 뭔상관이여 언제부터 올림픽보고 운동화샀다고,@DWL-jp6jg,2024-09-24T21:50:02Z,0
26,악마의신발,@방가하이,2024-09-23T06:33:50Z,0
27,나이는 키순이 아니에요 그러니 나이키 안대는거임<br>나이랑 키랑 먼 상관이라고 나이는 키순이 아니래<br>그래서 나이스 라고 바꿔야함<br>자꾸 키가지고 난리임<br>나이키 말고 나이스나 나이랑키상관노노해 로 바꾸면됨,@최우민-g3rez,2024-09-21T10:53:02Z,0
28,요즘 스포츠 말고도 잼있는거 많잖아? 결국 스포츠를 통해 젊은이들에게 홍보가 안됨 올림픽이 점점 망해가듯이...,@soonsoo9184,2024-09-19T15:25:02Z,0
29,정신차릴 팩트만 이야기한다<br>1. 디자인 갈수록 아닌거같음.<br>2. 예전엔 남자의 전유물인 스포츠 웨어나 신발들이 언제부터인가 여자들꺼 아이들꺼에만 신제품 출시에 집중함. 판매층 타겟 설정이 맛감. 남자들은 살것이 없음 눈을씻고 찾아보아도<br>3. 디자인 괜찮은건 리셀러들의 먹이감 인식이 너무 강해짐. 실제로도 그럼. 투자성 물건들치고 절대적으로 지속성이 떨어짐.<br>4.가격이 점차 디자인 성장성에 비해 사악해짐 시대역행.<br>5. 서비스 품질이 개선되긴커녕 역행. <br><br>5가지만 봐도 나이키이 미래는 답이 나온다. 정신차리자.,@니알아서뭐하게,2024-09-17T20:26:27Z,0
30,근대 막상 가면 비쌈,@정민-h6v,2024-09-16T09:16:25Z,0
31,해외 가봐라%%~나이키. 개싸다 기가찰만큼 뻠핑시켜서 파는 아름다운 대한민국,@코코심쿵숙희,2024-09-13T12:14:08Z,0
32,디자인이 안이쁨,@강룡-q7j,2024-09-11T15:01:49Z,0
33,나이키가 뭔 죄졌나 왜케 못 까서 난리야 ㅋ 하지만 모르는거 스포츠 브랜드 매출은 나이키가 부동의 1위라는거.. 1위와 2위의 차이가 범접할수없는 엄청난 차이다..,@htony6536,2024-09-09T20:03:57Z,0
34,마크도 식상합니다,@jaegyunlee490,2024-09-09T06:29:29Z,0
35,가격이 비싸,@삼전보다5년앞선HBM기,2024-09-08T05:20:30Z,0
36,소비자나 매장 현실 의견 무시한 결과<br>제품 성능보다 광고에만 투자한 결과,@독사-s6i,2024-09-08T03:12:18Z,0
37,솔직히 나이키만 신었는데 <br>발이 적응되기 전까지 아픔을 감수해야만 했다. <br><br>그러다가 아식스 젤카야노 와 <br>뉴발란스를 접했는데 .?????<br><br>아니 새제품을 신어도 편안하고 아픈게 없었다.<br><br>나이키 빠이를 외치며 이제부턴 <br>편안한것을 찾게된다. <br><br>그리고 품질도 마감도 점점 나빠지는것도 사실.....,@wjhyung81,2024-09-07T18:46:05Z,0
38,결정적 원인은 품질이 너무 떨어진다,@빈센트반고갱,2024-09-07T04:33:39Z,0
39,중국산짝퉁이 너무 많아서 재벌이 신지않은이상 그냥 다 짝퉁으로 보여 ㅋㅋ,@미컬이,2024-09-03T21:02:20Z,0
40,잘만.사더만,@양진호-z3m,2024-09-03T12:02:52Z,0
41,디자인이 전에는 이뻣는데 요즘은 별로,@이신-j8g,2024-09-03T06:15:15Z,0
42,하라는 품질관리는 안하고 pc질이나 하는 브랜드. 쓰잘데기없이 딴짓거리하는 회사가 잘될리가 있나.,@NaMuNelBo_Sloth,2024-09-02T10:00:01Z,0
43,나이키 주식 사야겠다,@이웃집토토로파산-e5x,2024-09-02T06:29:27Z,0
44,조던 형님 불러와,@mk0154,2024-09-01T21:04:51Z,0
45,나이키 수영복 티셔츠 로고가 옷보다 먼저 떨어지거나 갈라지거나 헤짐 디자인이라고 해봐야 로고가  반은 먹고 들어가는게 나이키인데 로고 떨어지면 그냥 짭이랑 뭐가 다름? 차라리 오바로크를 한제품만 내던지 품질수준 이하 ㅠ,@kwpark3208,2024-09-01T15:01:25Z,0
46,공홈에서 샀는데 개짝퉁같아서 환불함ㅡㅡ,@쌀요리,2024-09-01T02:54:54Z,0
47,나이키는 디자이너를 바꿔야함,@アトラス-k1g,2024-09-01T00:55:24Z,0
48,상품재질은 몇회사용하면 아작나고 A/S는 개판이고 홍보마케팅하는 광고모델들은 스폰으로 수차례 새 제품은 교체되는데 일반소비자들은 운동화인데 비싸서 안 쓰고 소장용으로만 쓰는데...그래도 이 정도면 오래가긴했다.90년대 조던이 열일했음.,@이민-j2m,2024-08-31T17:00:27Z,0
49,점점 질이 안 좋아지는 듯,@nojam_2699,2024-08-31T16:20:11Z,0
50,다이키,@마들렌-q9m,2024-08-31T06:42:30Z,0
51,300  이상은 사이즈  구하기 힘듬<br>300 이상 보이면 디자인 안보고 그냥 삼ㅋ,@ask.74,2024-08-29T01:37:22Z,0
52,상품의 질이 낮아,@임채용-j5l,2024-08-28T01:41:25Z,0
53,운동화 뒷금치 쪽 찢어짐 개짜증<br>에어맥스 사고 하루신고 터져 가지고 갔더니 사용자 과실이라고 연락와서<br>버리세요 하고 그이후로 나이키는 쳐다도 안봄 다 자업자득,@하썬-w3i,2024-08-27T10:52:02Z,0
54,요즘 그냥 서민 운동화죠 동네 강아지들도 물고 다닐만큼 흔한 운동화죠,@wodnr24wjs40,2024-08-27T08:43:03Z,0
55,페이퍼맥스 4개월만에 에어터짐 ㅋㅋㅋ<br>좆에어,@주혁-u1e,2024-08-25T16:11:05Z,0
56,요즘나이스 짭퉁이판친다아냐 진품가품구별이안되는듯. 본드옆구리나와잇고,@순이둥이,2024-08-25T00:13:16Z,0
57,나이키 짝퉁 너무많아..미국애서 생산한 제품만 나이키여야함,@이엘리-q8c,2024-08-24T17:01:20Z,0
58,아울렛 나이키 매장엔 사람들 바글바글함,@bomiabba,2024-08-24T06:21:52Z,0
59,뭐든 고이면 썩는듯. 영원한건 없구나,@이크릉-u7v,2024-08-23T20:03:06Z,0
60,신발계의 보잉인듯,@kimsk9306,2024-08-23T14:39:48Z,0
